id;name;description;image_url;price;stock
1;Car Phone Holder Mount;1 magnetic phone car mount, 2 Round metal Pad, 1 Rectangular metal Pad, 2Round PE Film , 1 Rectangular PE Film. NOTE: THIS PHONE HOLDER ONLY COMPATIBLE WITH HORITABLE AIR VENT AND NOT COMPATIBLE WITH VERTICAL OR ROUND AIR VENT.;https://m.media-amazon.com/images/I/711m9CtgYEL._AC_UL480_FMwebp_QL65_.jpg;65750;86
2;Car Charger Adapter;the combination of lightning cable and additional USB port allows this car charger to charge any two devices simultaneously with max up to 4.8a output, and it automatically adapts the output to each one accordingly.;https://m.media-amazon.com/images/I/61EdmbbxryL._AC_UL480_FMwebp_QL65_.jpg;54500;22
3;Car Seat Headrest Hanger;it converts your car’s headrest into a storage space, help you keep your car interior perfectly clean and organized,the headrest hook can hang groceries, handbags,purses,schoolbags,umbrellas,water bottles, shopping bags,baby supplies and much more.;https://m.media-amazon.com/images/I/91QjYtM4u3L._AC_UL480_FMwebp_QL65_.jpg;200000;155
4;Comfort Car Seat Cushion;Made with pure memory foam, our chair cushion uses your body heat to adapt to your curves providing your current chair with the support it lacks;https://m.media-amazon.com/images/I/71GK3h7hiHL._AC_UL480_FMwebp_QL65_.jpg;35000;92
5;Jumper Cables;This jumper cables have higher copper content than the others without UL certification which is more durable. Patented design clamps covered with non-conducting rubber, it is safe enough for repeated use.;https://m.media-amazon.com/images/I/71smAIrllnL._AC_UL480_FMwebp_QL65_.jpg;10000;1882
6;Cabin Air Filter;Treated to help capture contaminants that cause odors. Dirty disposable cabin filters can cause a musty smell in your car’s interior;https://m.media-amazon.com/images/I/91jZ2J8rxAL._AC_UL480_FMwebp_QL65_.jpg;15000;197
7;Car Vaccuum Cleaner; A mini vacuum for car or truck that is compact, lightweight (2.4 lbs), and easy to use. The large dust bin capacity is ready for ash, dust, or drive-thru food spills. A fully loaded interior car detailing kit housed in an ergonomic design.;https://images-na.ssl-images-amazon.com/images/I/51Cb2ksRwIL.jpg;345000;50
8;Multipurpose Scissors;Great for cutting burlap, paper, card stock, cardboard, wrapping paper, light line, fabric, tape, photos, coupons, and opening boxes & packaging. Surprised for sewing, tailoring, quilting, dressmaking, cutting patterns, cutting quilting, Vinyl, Leather, and making face masks. Exceptional scissors for multiple uses in various rooms, in the Handcraft Workshop, bathroom, sewing room, laundry room, craft room, at the office, great for most regular household tasks.;https://images-na.ssl-images-amazon.com/images/I/41UvpYkyv3L.jpg;4000;200
9;Crayola Crayons;24 assorted colors, certified non-toxic, for ages 4 and up;https://images-na.ssl-images-amazon.com/images/I/51qiyU8ZV0L.jpg;10000;85
10;Head Mount Magnifier Glasses;An essential tool in diamond classification for clarity classification and cut evaluation of diamonds.;https://m.media-amazon.com/images/I/51J2uhxEo-L._AC_UL480_FMwebp_QL65_.jpg;57500;100
11;Paint Brush Set;10 size professional round-pointed paintbrushes with a variety of shapes make MIXING COLOR more easy, perfect for artists, amateurs, students, teens, kids, children and painters of all levels. Wonderful gift idea for your friends and families who have fun in painting!;https://m.media-amazon.com/images/I/81ON4-sLO0L._AC_UL480_FMwebp_QL65_.jpg;35000;49
12;Masking Tape;Made of crepe paper with pressure-sensitive rubber adhesive for secure placement, beige color;https://m.media-amazon.com/images/I/51xl5Zut9SL._AC_UL480_QL65_.jpg;2000;39999
13;Paint Tray Palettte;Paint tray widely used in party, school project, art classes & lessons. Beside, you can use the paint trays decorate cupcakes or candies when you would like to make a birthday art party for your lovely kids.;https://m.media-amazon.com/images/I/61lF8Ffk2DL._AC_UL480_QL65_.jpg;12500;299
14;Little Blue Truck board book;Beep! Beep! Beep! Meet Blue. A muddy country road is no match for this little pickup--that is, until he gets stuck while pushing a dump truck out of the muck. Luckily, Blue has made a pack of farm animal friends along his route. And they're willing to whatever it takes to get their pal back on the road.;https://images-na.ssl-images-amazon.com/images/I/51SuFuFRPIL._AC_SX368_.jpg;50000;167
15;American Marxism;In American Marxism, Levin explains how the core elements of Marxist ideology are now pervasive in American society and culture—from our schools, the press, and corporations, to Hollywood, the Democratic Party, and the Biden presidency—and how it is often cloaked in deceptive labels like “progressivism,” “democratic socialism,” “social activism,” and more. With his characteristic trenchant analysis, Levin digs into the psychology and tactics of these movements, the widespread brainwashing of students, the anti-American purposes of Critical Race Theory and the Green New Deal, and the escalation of repression and censorship to silence opposing voices and enforce conformity. Levin exposes many of the institutions, intellectuals, scholars, and activists who are leading this revolution, and provides us with some answers and ideas on how to confront them.;https://images-na.ssl-images-amazon.com/images/I/51gGgVnODsL._SX322_BO1,204,203,200_.jpg;85000;57
16;Where's Spot?;With its bold blue cover, this board book edition of Eric Hill’s classic story featuring everyone’s favorite puppy is just as iconic as the first lift-the-flap edition.;https://images-na.ssl-images-amazon.com/images/I/51o4b5AdNLL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg;75000;66
17;Beautiful World, Where Are You;Alice, a novelist, meets Felix, who works in a warehouse, and asks him if he’d like to travel to Rome with her. In Dublin, her best friend, Eileen, is getting over a break-up, and slips back into flirting with Simon, a man she has known since childhood.;https://images-na.ssl-images-amazon.com/images/I/51cidczO3xS._AC_SX368_.jpg;73500;72
18;The Keeper of Happy Endings;An enchanting novel about fate, second chances, and hope, lost and found, by the Amazon Charts bestselling author of The Last of the Moon Girls.;https://images-na.ssl-images-amazon.com/images/I/81ej-GuREkL._AC_UL320_SR320,320_.jpg;64000;44
19;Dry-Fit Shirts;Perfect for running, workout and training sports and even as an moisture wicking undershirt.;https://m.media-amazon.com/images/I/913QKTYk-iL._AC_UL480_FMwebp_QL65_.jpg;45000;23
20;Short Sleeve T-Shirt Value Pack;100% Cotton, Soft and Comfortable;https://m.media-amazon.com/images/I/71hN+5QN5tL._AC_UL480_FMwebp_QL65_.jpg;23000;11
21;High Waist Polka Dot Pleated Skirt Midi Swing Skirt with Pockets;This classic polka dot print skirt goes with everything. It is perfect for camisole or shirts. When the weather is cold, matching coat is a great choice. It will make you look super charming and elegant. Don't miss it.;https://m.media-amazon.com/images/I/61ixbJKl+HL._AC_UL480_FMwebp_QL65_.jpg;56000;34
22;Summer Tunic Dress V Neck Casual Loose Flowy Swing Shift Dresses;Perfect tunic dress for leggings, tights, or laying with coat, jackets, sweaters in spring, autumn and winter.;https://m.media-amazon.com/images/I/71Baq7E2tML._MCnd_AC_UL480_FMwebp_QL65_.jpg;61300;54
23;4-Pack Boys Short Sleeve Crew Neck T-Shirt with Chest Print;A Convenient and easy way to dress and make multiple different outfits! With COOL designs, including FUN phrases and STYLISH prints! Enjoy all of these AWESOME colors of Blue, Black, Grey, Red and more!;https://m.media-amazon.com/images/I/71sX+Eb2aiL._AC_UL480_FMwebp_QL65_.jpg;42750;48
24;Navy Blue Rain Jacket;Crafted of a waterproof 100% nylon shell, this boys' rain jacket is lightweight while remaining protective. It's the perfect layering piece as well as the perfect first line of defense for rainy play dates.;https://m.media-amazon.com/images/I/610fWj0I+iS._AC_UL480_FMwebp_QL65_.jpg;54850;33
25;Pink Rain Jacket;Completely waterproof, elastic cuffs, a drop tail, and reflective element will keep they dry and secure.;https://m.media-amazon.com/images/I/61gTJtCwhzS._AC_UL480_FMwebp_QL65_.jpg;54850;23
26;4 -Pack Crew Neck Super Soft Cotton T Shirts;Great for everyday wear or sleepwear T. Just for layering, or plain wearing clean finish bottom to wear tucked in or tucked out. Available in 6 sizes;https://m.media-amazon.com/images/I/81Vd6dAQbtL._AC_UL480_FMwebp_QL65_.jpg;42750;96
27;Night Cam with Color Night Vision;An all-new Starlight Sensor records night time video in full, vivid color. The Starlight Sensor can see full color in environments up to 25x darker than traditional video cameras and the new f/1.6 aperture captures 2x more light.;https://images-na.ssl-images-amazon.com/images/I/31c-2WuQAhL.jpg;95000;50
28;Wireless Earphones;Specific touch control function makes it more convenient, tap once to play/pause music and answer calls, double tap to skip forward/backward, hold to adjust the volume. You can easily control it without operating the phone.;https://images-na.ssl-images-amazon.com/images/I/41LR93r46HL.jpg;25400;96
29;Virtual Reality Headset;Get the best seat in the house to live concerts, groundbreaking films, exclusive events and more;https://m.media-amazon.com/images/I/615YaAiA-ML._AC_UL480_FMwebp_QL65_.jpg;94750;104
30;Portable External Hard Drive;Easily store and access 2TB to content on the go with the Portable Drive, a USB external hard drive;https://m.media-amazon.com/images/I/81tjLksKixL._AC_UL480_FMwebp_QL65_.jpg;25000;190
31;Stereo Alpha 2 Headset;Rotating, noise canceling microphone. Sensitivity (headphone) 94 dBV/Pa +/ 3 dB. Sensitivity (microphone) 17 dBV/Pa +/ 4 dB;https://m.media-amazon.com/images/I/61CqYq+xwNL._AC_UL480_FMwebp_QL65_.jpg;97900;15
32;Elite Controller version 2.45;Stay in the game for longer with up to 40 hours of rechargeable battery life. Use Xbox Wireless, Bluetooth, or the included USB C cable to play across your Xbox 1 and Windows 10 devices;https://m.media-amazon.com/images/I/71F6eID-ImL._AC_UL480_FMwebp_QL65_.jpg;75000;20
33;OREO Original, OREO Golden, CHIPS AHOY! & Nutter Butter Cookie Snacks Variety Pack;This bulk variety package contains 56 snack packs: 14 each of OREO Chocolate Sandwich Cookies, OREO Golden Sandwich Cookies, CHIPS AHOY! Chocolate Chip Cookies, and Nutter Butter Sandwich Cookies.;https://images-na.ssl-images-amazon.com/images/I/81p8sciFxCL._AC._SR360,460.jpg;80000;256
34;Frito-Lay Variety Pack, Party Mix, 40 Count;40 Single Serve favorites Lay's Classic Potato Chips, Crunchy Cheetos, Chili Cheese Fritos, Lay's BBQ Potato Chips, Original Funyuns, Doritos Nacho Cheese, Original Fritos, and Ruffles Cheddar & Sour Cream Chips;https://m.media-amazon.com/images/I/81DF9tHWcbL._AC_UL480_FMwebp_QL65_.jpg;75000;187
35;Ferrero Rocher Fine Hazelnut Milk Chocolate, 24 Count, Chocolate Candy Gift Box, 10.5 oz;A tempting combination of smooth chocolaty cream surrounding a whole hazelnut within a delicate, crisp wafer all enveloped in milk chocolate and finely chopped hazelnuts;https://m.media-amazon.com/images/I/91qi6PV+XBL._AC_UL480_FMwebp_QL65_.jpg;160000;40
36;Mentos Chewy Mint Candy Roll, Fruit, Non Melting (Pack of 6);Flavored chewy candy mints per each 1.32 ounce roll, Gluten Free;https://m.media-amazon.com/images/I/81n-fLc5BML._AC_UL480_FMwebp_QL65_.jpg;12000;1900
37;Kraft Original Macaroni & Cheese Easy Microwavable Dinner;Macaroni and cheese makes a great and easy dinner for kids and adults;https://images-na.ssl-images-amazon.com/images/I/81ZS0K1DU3L._AC._SR360,460.jpg;24000;9002
38;Chef Boyardee Beef in Tomato & Meat Sauce Ravioli, 7.5 Oz. (Pack of 12);Chef Boyardee Beef Ravioli in tomato and meat sauce is a fun meal for the kids, and is ready to serve in less than one minute;https://m.media-amazon.com/images/I/81za90qtEZL._AC_UL480_QL65_.jpg;28000;18
39;Starbucks Medium Roast K-Cup Coffee Pods Breakfast Blend for Keurig Brewers ,32 Count (Pack of 1);Includes a total of 32 individual K-Cup pods of Starbucks Breakfast Blend Coffee;https://m.media-amazon.com/images/I/81qU0u3KrsL._SL1500_.jpg;69000;54
40;Balance Pick Korea Roasted Pine Needle Tea Triangle Teabag - Product of Korea;Triangle Teabag has extra space. Water seeps into the inner space of the tea bag containing tea leaves, making it easier to extract tea better than regular tea bags.;https://m.media-amazon.com/images/I/61VaJdKD0vS._SL1500_.jpg;76000;27
41;One-Step Hair Dryer And Volumizer Hot Air Brush;Style, Dry & Volumize Your Hair in One Step, Max Drying Power with 30% Less Frizz and helps reduce hair damage;https://m.media-amazon.com/images/I/71aXzv34N+L._AC_UL480_QL65_.jpg;168000;84
42;Disposable Face Mask;Disposable face masks,breathing space that meets the needs of different facial contours, and can be used by students and adults.;https://m.media-amazon.com/images/I/71FIeKwQ40L._AC_UL480_FMwebp_QL65_.jpg;100000;90
43;Band-Aid Brand Flexible Fabric Adhesive Bandages;Made with Memory-Weave fabric for comfort and flexibility, these bandages stretch, bend, and flex with your skin as you move, and include a Quilt-Aid Comfort Pad designed to cushion painful wounds which may help prevent reinjury;https://m.media-amazon.com/images/I/91wvG8mS6KL._AC_UL480_FMwebp_QL65_.jpg;59000;19
44;Sleep Eye Mask for Men Women;No pressure on eyes, eye space is wider and deeper than other flat eye mask (Silk eye mask will oppress eyes);https://m.media-amazon.com/images/I/71hUs7+rH9L._AC_UL480_FMwebp_QL65_.jpg;19000;200
45;Low Air Loss Alternating Overlay Pressure Mattress- Pressure Ulcers Prevention - Variable Pressure Pump System;The mattress and pump system is simple to use and easy to be installed over hospital or your home beds. The compact Pump working noise level ≦ 30dB(A) to ensure a restful sleep.;https://m.media-amazon.com/images/I/61Vc2OZsL8L._AC_UL480_FMwebp_QL65_.jpg;39000000;10
46;Quick-Size Paper Towels;2X More Absorbent vs. leading ordinary brand;https://m.media-amazon.com/images/I/71e4FX1KzIL._AC_UL480_QL65_.jpg;58500;94
47;Paper Plates, 10 1/16 inch, Dinner Size Printed Disposable Plate, 220 count (5 packs of 44 Plates);Microwave Safe, Cut Resistant, and Soak-Proof Shield that can handle anything from salad dressing to burger grease;https://m.media-amazon.com/images/I/81tBubZG6qS._AC_UL480_QL65_.jpg;14000;299
48;Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers;Our cool pillow is encased in a 250-thread count cover, and filled with a soft down alternative.;https://m.media-amazon.com/images/I/61zsdTYMxTS._AC_UL480_FMwebp_QL65_.jpg;788000;199
49;11 Piece Aluminum Alloy Steel Hand Tool Starter Kit with Garden Bag, Outdoor Tool, Heavy Duty Gardening Work Set with Ergonomic Handle, Gardening Tools;This essential all-in-one gardening set includes a large trowel, small trowel, hand rake, cultivator, weeder, pruning shears, 100ft gardening rope, handheld sprayer, digging claw gardening gloves, pruning snips, and an Oxford cloth tote to keep all your tools packed away and organized so you can prune, dig, weed, aerate, and plant to perfection.;https://m.media-amazon.com/images/I/81T2Ebk8xDL._AC_UL480_FMwebp_QL65_.jpg;800000;200
50;Office Chair;This office chair designed with human-oriented ergonomic construction, providing back support to reduce back pain caused by long time sitting.;https://m.media-amazon.com/images/I/61FbxgUGf3L._AC_UL640_QL65_.jpg;500400;190
51;Multifunctional LED Desk Lamp;Multifunctional LED Desk Lamp Office Lamp with 5V2A Adapter to wall, Portable,Exactly what You are looking for;https://m.media-amazon.com/images/I/610LbprsSeL._AC_SL1500_.jpg;475000;499
52;Bike Lock Cable;Cable bike lock features a preset, four-digit combination lock.  Provides a basic security level that is best used as a theft deterent;https://m.media-amazon.com/images/I/61Lq0UqkrjL._AC_UL480_QL65_.jpg;24000;74
53;LED Head Lamp;The removable, washable, and adjustable headband on this LED headlamp comfortably fits adults and children alike. Weighing only 3 oz with batteries, it is the ideal head light for outdoor adventurers;https://m.media-amazon.com/images/I/71jaMww-GWL._AC_SL1200_.jpg;48000;17
54;Fitness Fitbit;Use built-in GPS to see your pace and distance on screen during outdoor runs, rides, hikes and more and see a workout intensity map in the app that shows your heart rate changes along your route;https://m.media-amazon.com/images/I/71smqRr0pmL._AC_SL1500_.jpg;97850;20
55;Easy Compact Binoculars;This binoculars has 12x magnification, 25mm objective lens and wide field of view, 273ft/1000yds, letting you look farther and see wider. Coating with FMC Broadband coating and premium BAK4 prism, it ensure imaging verisimilar.;https://m.media-amazon.com/images/I/71aIoTvKaLL._AC_UL480_FMwebp_QL65_.jpg;127500;90
